Food,FoodCalories,FoodProtein,FoodCarb,FoodFat
"Wheat, pancakes 4"" diam.",231.4814815,6.481481481,25.92592593,8.333333333
"Pizza 14"" diam.",240,10.66666667,30.66666667,8
Popcorn salted,542.8571429,10.71428571,71.42857143,25
Puffed rice,392.8571429,0,85.71428571,0
Puffed wheat presweetened,375,3.571428571,92.85714286,0
Rice,359.6153846,7.211538462,74.03846154,1.442307692
Converted,362.0320856,7.486631016,75.93582888,0
White,362.3036649,7.329842932,78.53403141,0
Rice flakes,383.3333333,6.666666667,86.66666667,0
Rice polish,264,12,56,12
Rolls,822,6,46,24
of refined flour,302.6315789,7.894736842,52.63157895,5.263157895
whole-wheat,255,10,50,2.5
Spaghetti with meat sauce,114,5.2,14,4
with tomatoes and cheese,84,2.4,14.4,2
Spanish rice,86.8,1.6,16,1.6
Shredded wheat biscuit,357.1428571,10.71428571,82.14285714,3.571428571
Waffles,320,10.66666667,40,12
Wheat germ,360.2941176,25,50,10.29411765
Wheat-germ cereal toasted,400,30.76923077,55.38461538,10.76923077
Wheat meal cereal unrefined,343.3333333,13.33333333,83.33333333,3.333333333
"Wheat, cooked",137.5,6,17.5,0.5
Bean soups,76,3.2,12,2
Beef soup,40,2.4,4.4,1.6
Bouillon,10,2.083333333,0,0
chicken soup,30,1.6,4,0.8
Clam chowder,33.33333333,1.960784314,4.705882353,0.784313725
Cream soups,78.43137255,2.745098039,7.058823529,4.705882353
Noodle,46,2.4,5.2,1.6
Split-pea soup,58.8,3.2,10,1.2
Tomato soup,71.42857143,2.448979592,8.979591837,2.857142857
Vegetable,32,1.6,5.6,0.8
Apple betty,150,1,29,4
Bread pudding,187,5.5,28,6
Cakes,275,7.5,57.5,0
Chocolate fudge,350,4.166666667,58.33333333,11.66666667
Cupcake,320,6,62,6
Fruit cake,350,6.666666667,56.66666667,13.33333333
Gingerbread,327.2727273,3.636363636,50.90909091,12.72727273
"Plain, with no icing",327.2727273,7.272727273,56.36363636,9.090909091
Sponge cake,287.5,7.5,55,5
Candy,416,0,76,12
Chocolate creams,433.3333333,0,80,13.33333333
Fudge,411.1111111,0,88.88888889,13.33333333
Hard candies,321.4285714,0,100,0
Marshmallows,326.6666667,3.333333333,76.66666667,0
Milk chocolate,517.8571429,3.571428571,78.57142857,10.71428571
Chocolate syrup,200,0,55,0
Doughnuts,409.0909091,6.060606061,51.51515152,21.21212121
"Gelatin, made with water",64.85355649,1.673640167,15.06276151,0
Honey,285.7142857,0,71.42857143,0
Ice cream,83.33333333,0,0,0
Ices,78,0,32,0
preserves,275,0,70,0
Jellies,250,0,65,0
Molasses,225,0,55,0
Cane Syrup,250,0,65,0
"9"" diam. pie",244.4444444,2.222222222,39.25925926,9.62962963
Cherry Pie,251.8518519,2.222222222,40.74074074,9.62962963
Custard,203.8461538,5.384615385,26.15384615,8.461538462
Lemon meringue,250,3.333333333,37.5,10
Mince,251.8518519,2.222222222,45.92592593,6.666666667
Pumpkin Pie,203.8461538,3.846153846,26.15384615,9.230769231
Puddings Sugar,385,0,99.5,0
3 teaspoons sugar,416.6666667,0,100,0
"Brown, firm-packed, dark sugar",370.4545455,0,95.45454545,0
Syrup,250,0,62.5,0
table blends sugar,275,0,72.5,0
Tapioca cream pudding,134,4,16.8,4
Almonds,607.1428571,18.57142857,18.57142857,54.28571429
roasted and salted,627.1428571,18.57142857,18.57142857,57.14285714
Brazil nuts,652.8571429,14.28571429,10,67.14285714
Cashews,560,17.14285714,28.57142857,45.71428571
coconut sweetened,548,2,52,40
Peanut butter,600,24,18,50
"Peanut butter, natural",568,26,16,48
Peanuts,580,26,18,50
Pecans,659.6153846,9.615384615,13.46153846,67.30769231
Sesame seeds,560,18,20,48
Sunflower seeds,560,24,20,52
Walnuts,650,14,16,64
Beer,47.5,0,1.666666667,0
Gin,250,0,0,0
Wines,136.6666667,0,7.5,0
Table (12.2% alcohol),83.33333333,0,4.166666667,0
Carbonated drinks Artificially sweetened,0,0,0,0
Club soda,0,0,0,0
Cola drinks,39.59537572,0,10.98265896,0
Fruit-flavored soda,46.53179191,0,12.13872832,0
Ginger ale,30.34682081,0,8.092485549,0
Root beer,40.46242775,0,10.11560694,0
Coffee,1.304347826,0,0.434782609,0
Tea,1.739130435,0,0.434782609,0
